Nomre,Puntuacion,Clasificacion Edad,Desarrollador,Distribuidor,Géneros,Plataforma,Precio,Consola virtual,Lanzamiento en Europa:,Formato,Voces (idioma),Textos (idioma),Num Jugadores,Modo Online,Num genero,Num idioma
Devil May Cry 3: Special Edition,9,Pegi 16,"Christopher Anselmo, Sebastian Nigro",,Acción-Aventura,Wii U,"39,99€",No disponible,03/03/2017,Digital,,,,,,
Devil Engine,7.5,Pegi 7,Gearbox Publishing,,Acción-Shooter en 1ª persona (FPS),Nintendo 3DS,"19,99€",No disponible,28/11/2018,Digital,,,,,,
Deus Ex: Human Revolution – Director’s Cut,8,Pegi 18,D-O,,Arcade-Puzle,Consola virtual:,"39,99€",No disponible,31/01/2020,Físico y Digital,,,,,,
Deru – The Art of Cooperation,7,Pegi 3,UbiSoft,,Aventura,SWITCH,"39,99 €€",No disponible,07/08/2020,Físico y Digital,,,,,,
Destiny Connect: Tick-Tock Travelers,--,Pegi 7,Ubisoft,,Acción-Aventura,Consola virtual:,"49,99€€",No disponible,01/12/2017,Físico y Digital,,,,,,
Commander Keen in Keen Dreams: Definitive Edition,--,Pegi 3,Gameloft,,Conducción,Nintendo 3DS,"13,99€",No disponible,02/02/2017,Digital,,,,,,
Collection of Mana,9.6,Pegi 7,Shin'en Multimedia,,Puzle,Precio de lanzamiento:,Gratis €,No disponible,03/03/2017,Digital,,,,,,
Code Name: S.T.E.A.M.,8,Pegi 12,Nintendo,,Otros,Consola virtual:,"19,99€",No disponible,11/12/2014,Digital,,,,,,
Cluedo,7,Pegi 7,Modus Games,,Acción-Arcade-Aventura-Rol (RPG),Wii U,"2,99€",No disponible,14/02/2019,Digital,,,,,,
Aokana – Four Rhythms Across the Blue,8.7,Pegi 16,Fuzzy Wuzzy Games,,Acción-Plataformas,Super Nintendo Entertainment System,"20,99€",No disponible,28/09/2018,Físico y Digital,,,,,,
Animal Crossing: Happy Home Designer,7.1,Pegi 3,Studio Wildcard,,Aventura-Rol (RPG)-Shooter en 1ª persona (FPS),SWITCH,"59,99 €€",No disponible,,,,,,,,
Animal Super Squad,6.9,Pegi 3,Attu Games,,Aventura-Estrategia-Plataformas,Nintendo 3DS,,,,,,,,,,
Animal Crossing: New Leaf Welcome amiibo!,--,Pegi 3,League of Geeks,,Estrategia,Nintendo 3DS,,,,,,,,,,
Animal Crossing: New Leaf,--,Pegi 3,"Mobot Studios, Inc.",,Acción-Arcade-Otros-Plataformas,SWITCH,,,,,,,,,,
Duke of Defense,--,Pegi 3,ArtPlay,,Acción-Aventura-Plataformas-Rol (RPG),SWITCH,,,,,,,,,,
Duke Nukem 3D: 20th Anniversary World Tour,--,Pegi 16,Digerati,,Acción-Arcade-Plataformas,SWITCH,,,,,,,,,,
Duck Game,8,Pegi 7,Climax Studio Ltd,,Acción-Aventura-Rol (RPG),SWITCH,,,,,,,,,,
Dual Brain Vol.3: Shapes,--,Pegi 3,Square Enix,,Acción-Aventura,SWITCH,,,,,,,,,,
Assassin’s Creed® IV Black Flag™,--,Pegi 18,Arc System Works,,Lucha,SWITCH,,,,,,,,,,
Assassin’s Creed: The Rebel Collection,--,Pegi 18,Inti Creates,,Acción-Rol (RPG),SWITCH,,,,,,,,,,
Assassin’s Creed III Remastered,--,Pegi 18,Arc System Works,,Acción-Lucha,SWITCH,,,,,,,,,,
Asphalt 9: Legends,--,Pegi 3,Nintendo / Cygames,,Acción-Rol (RPG),Consola virtual:,,,,,,,,,,
Art of Balance TOUCH!!,8,Pegi 3,Nintendo,,Otros,SWITCH,,,,,,,,,,
Art Academy: Atelier,9,Pegi 3,Nintendo,,Puzle,Wii U,,,,,,,,,,
